sector.eos,EOS,sd_D1.log.E_EM_p,EOS_low95conf,EOS_high95conf
1-fossil,0.093189218884724,0.00700391125674427,0.0794615528215052,0.106916884947943
2-utility,0.381240129133651,0.11601366624795,0.153853343287668,0.608626914979634
2_3-manufacturing,-0.0515452367798203,0.0247747038863021,-0.100103656396972,-0.00298681716266806
5-transportation,0.0421391660801765,0.00188057175799856,0.0384532454344993,0.0458250867258537
6-agric. etc,0.125336140462854,0.0615129396150449,0.00477077881736562,0.245901502108342
7_8_9-services,0.0895279906588038,0.0154949774373529,0.0591578348815923,0.119898146436015
