sector.eos,mean,p10,p25,p50,p75,p90
1-fossil,-0.0263973659973883,-0.177026477488157,-0.0711473063568076,-0.0321396266358916,0.0556966702696156,0.0788228659036484
2-utility,0.185208161405919,-0.265737824959745,0.00920628021707896,0.170347279960202,0.414432547098374,0.699451988151584
2_3-manufacturing,-0.0468174788356801,-0.285817033847853,-0.135496659465147,-0.0380634432045634,0.133891393241435,0.200029844126541
5-transportation,-0.166403725900156,-0.496964323676932,-0.297416860324014,-0.11617983196235,-0.00381574025249864,0.148305807511611
6-agric. etc,-0.290207940392627,-0.627031945818423,-0.539354990910989,-0.299620441922181,-0.1767167432568,0.0861493474968943
7_8_9-services,0.0448759694084593,-0.104528498559717,-0.0446029499377077,0.0045684595077819,0.112299480600531,0.248692371487252
