"Model","Scenario","Region","Variable","Unit","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2070","2080","2090","2100"
"REMIND-MAgPIE 3.0-4.4","Delayed transition","REMIND-MAgPIE 3.0-4.4|Middle East, North Africa, Central Asia","Final Energy|Transportation|Aviation|Passenger","EJ/yr","","","","","","",1.6718,1.6126,1.4765,1.7118,1.9154,2.0897,2.3555,2.4399,2.4867,2.6474,2.7848,2.9457,3.0793
"REMIND-MAgPIE 3.0-4.4","Delayed transition","REMIND-MAgPIE 3.0-4.4|Non-EU28 Europe","Final Energy|Transportation","EJ/yr","","","",1.4428,1.537,2.5656,3.268,3.6428,3.9446,3.9195,3.7658,3.6212,3.5963,3.6476,3.6842,3.6093,3.569,3.574,3.3429
"REMIND-MAgPIE 3.0-4.4","Delayed transition","REMIND-MAgPIE 3.0-4.4|Non-EU28 Europe","Final Energy|Transportation|Aviation|Passenger","EJ/yr","","","","","","",0.6893999999999999,0.7451,0.7777000000000001,0.8134,0.8083,0.7592,0.6618999999999999,0.6518,0.6599,0.6407,0.6076,0.5670000000000001,0.4606
"REMIND-MAgPIE 3.0-4.4","Delayed transition","REMIND-MAgPIE 3.0-4.4|Other Asia","Final Energy|Transportation","EJ/yr","","","",7.180899999999999,9.7046,12.4257,15.5849,17.7633,19.5571,20.0134,19.8339,19.6469,19.7032,19.9464,20.0838,20.3667,20.8735,21.8158,22.4403
"REMIND-MAgPIE 3.0-4.4","Delayed transition","REMIND-MAgPIE 3.0-4.4|Other Asia","Final Energy|Transportation|Aviation|Passenger","EJ/yr","","","","","","",1.6256,1.8794,2.171,2.4434,2.5494,2.6416,2.859599999999999,3.098,3.2976,3.6971,4.167299999999999,4.6016,5.1076
"REMIND-MAgPIE 3.0-4.4","Delayed transition","REMIND-MAgPIE 3.0-4.4|Sub-saharan Africa","Final Energy|Transportation","EJ/yr","","","",1.9149,2.1162,3.045,3.679,4.3423,5.647899999999999,7.122399999999999,8.8223,10.7845,13.3435,16.9004,21.4221,25.9528,29.9753,33.8403,36.13350000000001
"REMIND-MAgPIE 3.0-4.4","Delayed transition","REMIND-MAgPIE 3.0-4.4|Sub-saharan Africa","Final Energy|Transportation|Aviation|Passenger","EJ/yr","","","","","","",0.1743,0.2524,0.3939,0.5434,0.6974999999999999,0.8385,1.0291,1.321,1.7231,2.5761,3.8202,5.2972,6.296
"REMIND-MAgPIE 3.0-4.4","Delayed transition","REMIND-MAgPIE 3.0-4.4|United States of America","Final Energy|Transportation","EJ/yr","","","",27.2123,25.8572,24.1515,22.3937,21.5679,20.0293,17.0623,14.1587,12.6851,11.987,11.9367,11.8498,11.8773,12.0937,12.7032,13.1079
"REMIND-MAgPIE 3.0-4.4","Delayed transition","REMIND-MAgPIE 3.0-4.4|United States of America","Final Energy|Transportation|Aviation|Passenger","EJ/yr","","","","","","",2.4075,3.0638,3.55,3.0876,2.5886,2.5615,2.6352,2.7354,2.7653,2.831399999999999,3.0548,3.4223,3.6798
"REMIND-MAgPIE 3.0-4.4","Current Policies","World","Final Energy|Transportation","EJ/yr","","","",90.8114,102.2777,117.8049,129.5028,136.3357,138.8309,138.7685,138.0214,138.3827,142.9496,148.7415,156.0884,163.9436,171.8062,178.0229,181.9964
