"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Secondary Energy|Electricity|Oil","EJ/yr",0.0617711,0.0633059,0.0635245,0.079083,0.1006987,0.1223518,0.1488385,0.2034827,0.252716,0.2991072,0.3510845,0.3970825,0.4601052,0.5517357,0.645345,0.7414593,0.8284758
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Secondary Energy|Liquids|Oil","EJ/yr",1.141874,1.23787,1.368728,1.534219,1.69583,1.854288,2.0336843,2.3283483,2.67135634,3.04417754,3.46840933,3.9232994,4.4801583,5.1732725,5.9518014,6.7904735,7.6433521
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Transportation","EJ/yr",0.705601888,0.773730603,0.863506539,0.960429346,1.088486341,1.264285698,1.493927275,1.808870974,2.199930576,2.669732459,3.223731739,3.882028834,4.661108158,5.556369321,6.534463288,7.556749465,8.623619051
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Primary Energy|Coal","EJ/yr",0.07205641,0.078431743,0.090036066,0.131591572,0.226374809,0.381149298,0.596922422,0.86937108,1.126802491,1.360409708,1.566799509,1.745165692,1.901515524,2.070014566,2.241733599,2.42510602,2.608933907
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Industry","EJ/yr",1.236200706,1.476036311,1.874800449,2.378896948,3.003394713,3.749690506,4.605396832,5.589356011,6.636311223,7.692662844,8.716295354,9.649460271,10.46901551,11.17032866,11.79213342,12.32420031,12.79169266
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Secondary Energy|Electricity|Coal","EJ/yr",0.00591975,0.00698586,0.008296156,0.012724633,0.021968747,0.036690666,0.056508192,0.086137038,0.121497215,0.162837347,0.21048057,0.262847924,0.319872415,0.389712087,0.469397961,0.555374073,0.644307567
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Secondary Energy|Electricity|Gas","EJ/yr",0.002915034,0.00447452,0.006403112,0.010561718,0.019450171,0.034940812,0.057465239,0.09313392,0.141130099,0.200735943,0.276845108,0.371223075,0.485964245,0.621518106,0.772307738,0.931452863,1.111354687
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Primary Energy|Gas","EJ/yr",0.052333024,0.071905569,0.108701861,0.181468061,0.295058256,0.463747063,0.691023242,0.976755177,1.301869689,1.653764383,2.044441751,2.493490913,2.995832005,3.514721315,4.027967583,4.50925648,5.038593885
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Residential and Commercial","EJ/yr",3.101248641,3.155912177,3.359934822,3.49504104,3.587675383,3.66110672,3.79543743,4.04950778,4.444977976,4.953706298,5.550430961,6.190690523,6.854335495,7.52653378,8.171653096,8.759365533,9.419299314
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Secondary Energy|Electricity|Biomass","EJ/yr",0.003387,0.003649045,0.005917509,0.011004889,0.020446322,0.031474141,0.044970806,0.0694638,0.105898554,0.154859405,0.21625739,0.28237092,0.35570227,0.44137497,0.54330979,0.65936577,0.7832675
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Industry|Non-ferrous metals","EJ/yr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Transportation|Aviation|Passenger","EJ/yr",0.1098618,0.128593,0.155604,0.188922478,0.243023276,0.314885138,0.408357591,0.532389645,0.682125729,0.864567958,1.092845853,1.371025838,1.710465523,2.111407312,2.560220504,3.03998028,3.55841375
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Eastern","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",0.218004328,0.477971462,0.852129755,1.331940115,2.041305835,2.987867804,4.109898794,5.47850494,7.07029941,8.90425389,10.8197009,12.7276734,14.5592616,16.2441424,17.7690424,19.0136427,20.0451362
