sector.old,sector_id.klems,sector.klems
Paper,C16-C18,"Manufacture of wood, paper, printing and reproduction"
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",G47,"Retail trade, except of motor vehicles and motorcycles"
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",G,Wholesale and retail trade; repair of motor vehicles and motorcycles
Transmission of electricity,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Distribution and trade of electricity,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Activities auxiliary to financial intermediation (67),K,Financial and insurance activities
Computer and related activities (72),J62-J63,"Computer programming, consultancy, and information service activities"
Education (80),P,Education
Health and social work (85),Q,Human health and social work activities
Activities of membership organisation n.e.c. (91),S,Other service activities
Other service activities (93),S,Other service activities
Extra-territorial organizations and bodies,S,Other service activities
Other business activities (74),S,Other service activities
Private households with employed persons (95),T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
Public administration and defence; compulsory social security (75),O,Public administration and defence; compulsory social security
"Publishing, printing and reproduction of recorded media (22)",J58-J60,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities"
"Recreational, cultural and sporting activities (92)",R,"Arts, entertainment and recreation"
Renting of machinery and equipment without operator and of personal and household goods (71),N,Administrative and support service activities
Research and development (73),M,"Professional, scientific and technical activities"
Supporting and auxiliary transport activities; activities of travel agencies (63),R,"Arts, entertainment and recreation"
"Collection, purification and distribution of water (41)",D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Incineration of waste: Food,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Incineration of waste: Paper,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Incineration of waste: Plastic,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Incineration of waste: Metals and Inert materials,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Incineration of waste: Textiles,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Incineration of waste: Wood,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Incineration of waste: Oil/Hazardous waste,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
"Biogasification of food waste, incl. land application",D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
"Biogasification of paper, incl. land application",D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
"Biogasification of sewage slugde, incl. land application",D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
"Composting of food waste, incl. land application",D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
"Composting of paper and wood, incl. land application",D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
"Waste water treatment, food",D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
"Waste water treatment, other",D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Landfill of waste: Food,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Landfill of waste: Paper,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Landfill of waste: Plastic,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Landfill of waste: Inert/metal/hazardous,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Landfill of waste: Textiles,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Landfill of waste: Wood,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Recycling of waste and scrap,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Recycling of bottles by direct reuse,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Inland water transport,H50,Water transport
Sea and coastal water transport,H50,Water transport
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G46,"Wholesale trade, except of motor vehicles and motorcycles"
