sector.eos,mean,p10,p25,p50,p75,p90
1-fossil,0.0575802385699737,-0.105642485171041,-0.057734154828292,0.00376322215399037,0.133273082114958,0.334946325432134
2-utility,0.19638405113933,-0.170741323205579,-0.0307360286014261,0.0927774838094189,0.329911117109126,0.804968164964196
2_3-manufacturing,0.0694879487243724,-0.105397383449899,-0.0121654224366444,0.0447201575332078,0.118200501852307,0.27481724314529
5-transportation,0.095935493558038,-0.0631199827150658,0.010646951527552,0.0626964332383339,0.125197529631006,0.273045319398091
6-agric. etc,0.106137475798433,-0.150536955253515,-0.023425431679516,0.0456274290684516,0.172567071887411,0.484123031073054
7_8_9-services,0.198093414438458,-0.0369540289235339,0.0224957996267174,0.161339428104386,0.254218980781384,0.566024267661929
