"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Primary Energy|Gas","EJ/yr",0.067266452314053,0.089977741838049,0.123845586811836,0.15052086947589,0.196723567921082,0.244135209851202,0.277056902057166,0.334583227244411,0.346387801456956,0.328274019249719,0.296594619549518,0.255770855459609,0.244812362031918,0.301876024932811,0.358536499624789,0.422385881806595,0.504668715669341
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Secondary Energy|Electricity|Biomass","EJ/yr",0.00400442,0.00506058,0.0077353019799999,0.010405446,0.009533409,0.005988654,0.005033533,0.012252605,0.015089146,0.037111754,0.0825941756,0.15683333185,0.2326473253,0.23985174416,0.249126846,0.273210834,0.306279382
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Secondary Energy|Electricity|Coal","EJ/yr",0.00994735,0.0111337,0.0101711195645,0.004628361,0.001695442,0.0012226896,0.0006618551,0.00222385512,0.00085127446,0.000538190962,0.0004595113541,0.0004588688454,0.00060114267109,0.00076072859097,0.000891385,0.000938067,0.00102339
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Secondary Energy|Electricity|Gas","EJ/yr",0.0044621,0.00684525,0.0080107488499999,0.00609826186,0.0054037433,0.0037377283,0.0024903132,0.0022105676,0.0017547181,0.0014823346,0.0013947393,0.0016167204,0.0027920905,0.0029931499,0.0035448319,0.0045084766,0.006067509
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",0.245871311225,0.5973599827,1.188822293,2.296250688,3.910791025,6.122232517,9.02530569,12.58593819,16.611485,20.84888177,25.17730097,28.9157863,32.6747085,36.03284908,39.24879914,42.22350749,44.8499202
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Secondary Energy|Electricity|Oil","EJ/yr",0.0769067,0.0738332999999999,0.0578763999999999,0.0572936,0.0545565,0.0406696999999999,0.0340342999999999,0.02941366,0.02121012,0.015631093,0.010727853,0.008847639,0.007461559,0.010267785,0.014087478,0.018223154,0.02225997
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Secondary Energy|Liquids|Oil","EJ/yr",1.242682,1.341076,1.441767,1.50067,1.531567,1.465934,1.4055413,1.3549125,1.2341798,1.14641142,1.05776881,0.83144899,0.64117643,0.76965491,0.8946321,1.0454515,1.25365398
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Industry","EJ/yr",1.777555302134,2.063045942377,2.44175631620496,2.81675310712512,3.23953403631754,3.67090739569516,4.17146439273361,4.74785439672399,5.34733988336053,5.93048415436327,6.46479329469035,6.95207114850538,7.35154992326489,7.70816517534894,8.03993665514339,8.35586053306383,8.63855251339484
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Industry|Cement","EJ/yr",0.04280765,0.04405031,0.04569116,0.04673929,0.04951748,0.049536965,0.04912952,0.0551534325,0.0532605728,0.0520764897,0.0514941875,0.0516834653,0.0524393935299999,0.0529991008399999,0.0529659092799999,0.052474819544,0.052000874651
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Industry|Chemicals","EJ/yr",0.171966950994,0.183164734471,0.194181095087,0.214211038028,0.232957108516,0.252996490956,0.2745572283625,0.2969340401735,0.3229197730552,0.345547057182019,0.369772888855396,0.394070746256247,0.411895716878675,0.420805573264106,0.432452962254733,0.446467444124017,0.460855319762394
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Industry|Non-ferrous metals","EJ/yr",0.024766499582,0.033664519326,0.0463176249189999,0.061093884345,0.0780934951639999,0.0962533587207,0.1147436847982,0.132548297194404,0.14856090717497,0.161843222275973,0.171961036129696,0.179514427142265,0.184765146493,0.18826381198661,0.190073376232167,0.190070148911186,0.188344446875529
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Industry|Steel","EJ/yr",0.015349357358,0.0186260388399999,0.02256144683896,0.02807771251212,0.03021348388754,0.032266093771462,0.034341483340908,0.036841282551684,0.03829630962976,0.038799178843182,0.038534847194485,0.037948008530206,0.037310230196606,0.036584930365913,0.035582075435951,0.034223566868533,0.032581823085743
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Residential and Commercial","EJ/yr",1.8985275913706,2.1202529519003,2.4521426537533,2.6857880444469,3.03491292579727,3.42393271292765,3.88607385216655,4.3854753055312,4.85884216327302,5.28603921185567,5.63995272447447,5.93495850716824,6.16394020313568,6.37349421007198,6.53070162338998,6.6367464692783,6.77618728957322
