country,sector_id,sector,gross_output,labor_share,cap_share,II_share,materials_share_II,services_share_II,energy_share_II,Kq_GFCF,H_EMP
AT,25,7-finance,34827.97457641,0.350684374006455,0.150480236373968,0.498835392994388,0.0223522594321804,0.972304947241406,0.00534279332641377,89315.8298964762,578349
BE,25,7-finance,53660.9756715,0.178596901564898,0.311835433977803,0.509567664457299,0.0223522594321804,0.972304947241406,0.00534279332641377,94977.698813961,512330.4
BG,25,7-finance,6471.180199315,0.2377791677628,0.415570574723807,0.346650257513393,0.0223522594321804,0.972304947241406,0.00534279332641377,44485.8921954832,326769
CY,25,7-finance,988.1157190329,0.156408684782037,0.132255529140516,0.71135006997401,0.0223522594321804,0.972304947241406,0.00534279332641377,29566.222364904,99402
CZ,25,7-finance,19369.96428155,0.228682317654947,0.322619272102528,0.448698410242525,0.0223522594321804,0.972304947241406,0.00534279332641377,765364.500741138,446790
DE,25,7-finance,331104.714494,0.306088919970284,0.129826252377793,0.564084827651923,0.0223522594321804,0.972304947241406,0.00534279332641377,473852.7899457,4689000
DK,25,7-finance,30222.3499421,0.31834112789284,0.277362189632323,0.404296682474836,0.0223522594321804,0.972304947241406,0.00534279332641377,,351027
EE,25,7-finance,1929.193008791,0.264062680707487,0.420334478977576,0.315602836879433,0.0223522594321804,0.972304947241406,0.00534279332641377,1326.4655116454,69582
GR,25,7-finance,12323.759821486,0.344704643649537,0.369817110278554,0.285478255187671,0.0223522594321804,0.972304947241406,0.00534279332641377,14889.0177100336,483264
ES,25,7-finance,99046.6729023,0.278780844399356,0.301488213896608,0.419730941704036,0.0223522594321804,0.972304947241406,0.00534279332641377,164243.380166217,1809879
FI,25,7-finance,10947.04400983,0.226271606391922,0.223356619296954,0.550371774311124,0.0223522594321804,0.972304947241406,0.00534279332641377,5862.28857556695,200700
FR,25,7-finance,239057.11445,0.242745749420298,0.101809889367357,0.655444361212346,0.0223522594321804,0.972304947241406,0.00534279332641377,318004.22777403,3623922
HR,25,7-finance,4655.112570475,0.288124205434518,0.339232377959245,0.372643413087345,0.0223522594321804,0.972304947241406,0.00534279332641377,26058.6850156976,184005
HU,25,7-finance,12692.853889,0.313018877645424,0.283684459237116,0.40329666311746,0.0223522594321804,0.972304947241406,0.00534279332641377,4058829.16754715,412656
